Y-coord,X-coord,OTP (1),Detox (2),Res (3),OP (4),FQHC (5),SPC (5),PCP (6),Emergency (7),Capacity,Provider Type,Usage,Waitlist,In Area,Name and Address,Target Pop
37.36037569,-121.8452024,0,0,0,0,0,0,0,0,0,treatment,,,,,
37.31155276,-121.9362661,0,0,0,0,0,0,0,0,0,treatment,,,,,
37.07407068,-121.6052764,0,0,0,0,0,0,0,0,0,treatment,,,,,
37.3599593,-121.9594991,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.1284469,-121.6132935,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.37751332,-121.8677782,0,1,1,0,0,0,0,0,0,treatment,,,,,
37.33558104,-121.914623,0,0,0,0,0,0,0,0,0,treatment,,,,,
37.22603078,-121.7328511,0,1,1,0,0,0,0,0,0,treatment,,,,,
37.37837476,-121.9186449,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.31588358,-121.8323789,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.32582373,-121.8778953,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.33513356,-121.90951,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.312123,-121.9375403,1,0,0,0,0,0,0,0,0,treatment,,,,,
37.2501057,-121.95553,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4498968,-122.15731,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4055356,-122.1401,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.261967,-121.96624,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2632762,-121.94424,0,0,0,0,0,0,0,0,0,bup,,,,,
37.23699,-121.96279,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2557822,-121.95091,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2592973,-121.94791,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2513757,-121.95056,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2406438,-121.80072,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3093794,-121.97695,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3114077,-121.93694,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2557822,-121.95091,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3290695,-121.79763,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3036131,-121.98112,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4386414,-122.17067,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4330746,-122.17505,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3682691,-122.08247,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3357269,-121.88694,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4049705,-122.14022,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3682691,-122.08247,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2630074,-121.96691,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4047851,-122.14027,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3127641,-121.93298,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3258631,-121.93313,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2477,-121.951,0,0,0,0,0,0,0,0,0,bup,,,,,
